iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
AF,65.0,33.0,69.18,34.52
AF,66.0,33.0,69.18,34.52
AF,65.216,33.677,69.18,34.52
AX,19.952,60.198,,
AX,20.0,60.25,,
AL,20.0,41.0,19.82,41.32
AL,20.068,41.143,19.82,41.32
DZ,3.0,28.0,3.05,36.75
DZ,2.632,28.163,3.05,36.75
AS,-170.73,-14.318,-170.7,-14.27
AS,-170.0,-14.3333333333,-170.7,-14.27
AD,1.5,42.5,1.52,42.5
AD,1.508,42.5,1.52,42.5
AD,1.583333,42.55,1.52,42.5
AD,1.583,42.55,1.52,42.5
AD,1.576,42.549,1.52,42.5
AO,18.5,-12.5,13.22,-8.83
AO,17.544,-12.296,13.22,-8.83
AI,-63.05,18.2167,-63.05,18.22
AI,-63.05,18.216667,-63.05,18.22
AI,-63.032,18.237,-63.05,18.22
AI,-63.1666666667,18.25,-63.05,18.22
,-68.87,12.123,,
AQ,65.725,-83.843,,
AQ,0.0,-90.0,,
AQ,21.304,-80.446,,
AG,-61.8,17.05,-61.85,17.12
AG,-61.783,17.078,-61.85,17.12
AR,-64.0,-34.0,-58.67,-34.58
AR,-65.167,-35.377,-58.67,-34.58
AM,45.0,40.25,44.5,40.17
AM,45.0,40.0,44.5,40.17
AM,44.563,40.534,44.5,40.17
AW,-69.966667,12.5,-70.03,12.52
AW,-69.9667,12.5,-70.03,12.52
AW,-69.9666666667,12.5,-70.03,12.52
AW,-69.977,12.517,-70.03,12.52
AU,135.0,-25.0,149.13,-35.27
AU,133.0,-27.0,149.13,-35.27
AU,136.189,-24.973,149.13,-35.27
AT,13.3333,47.3333,16.37,48.2
AT,13.333333,47.333333,16.37,48.2
AT,13.3333333333,47.3333333333,16.37,48.2
AT,14.912,47.683,16.37,48.2
AZ,47.5,40.5,49.87,40.38
AZ,47.395,40.43,49.87,40.38
BS,-76.0,24.25,-77.35,25.08
BS,-78.014,24.628,-77.35,25.08
BH,50.55,26.033333,50.57,26.23
BH,50.5,26.0,50.57,26.23
BH,50.55,26.0,50.57,26.23
BH,50.562,26.019,50.57,26.23
BD,90.0,24.0,90.4,23.72
