institution_name,country_code,latitude,longitude
RMIT University,AU,-37.814,144.96332
Central Queensland University,AU,-23.38032,150.50595
Bond University,AU,-28.00029,153.43088
Charles Sturt University,AU,-33.41665,149.5806
Mater Research,AU,-27.46794,153.02809
The Heart Research Institute,AU,-33.89835,151.17754
University Mental Health Research Institute,GR,37.98376,23.72784
Rio Tinto (United Kingdom),GB,51.50853,-0.12574
Arup Group (United States),US,42.3751,-71.10561
BT Group (United Kingdom),GB,51.50853,-0.12574
Mater Health Services,AU,-27.46794,153.02809
Pilkington (United Kingdom),GB,53.45,-2.73333
Trojan Technologies (Canada),CA,42.98339,-81.23304
The Alfred Hospital,AU,-37.814,144.96332
Xstrata (United Kingdom),GB,51.50853,-0.12574
Hunter New England Local Health District,AU,-32.92953,151.7801
BASF (Germany),DE,49.48121,8.44641
Boys Town,US,41.25626,-95.94043
Olympus (Australia),AU,-33.86785,151.20732
UK Coal,GB,53.52285,-1.13116
Potsdam Institute for Climate Impact Research,DE,52.39886,13.06566
Institute of Fundamental Technological Research,PL,52.22977,21.01178
PSA Peugeot Citroën (France),FR,48.85341,2.3488
London South Bank University,GB,51.50853,-0.12574
Papiertechnische Stiftung,DE,50.97221,13.86741
Institute for Computer Science and Control,HU,47.49835,19.04045
Pera (United Kingdom),GB,52.76588,-0.88693
Renault (France),FR,48.83545,2.24128
Robosoft (France),FR,43.43698,-1.59294
University of National and World Economy,BG,42.69751,23.32415
Ecofys (Netherlands),NL,52.09083,5.12222
University of Antwerp,BE,51.22047,4.40026
European Synchrotron Radiation Facility,FR,45.17869,5.71479
STMicroelectronics (Italy),IT,45.46427,9.18951
Institute of Accelerating Systems and Applications,GR,37.98376,23.72784
Wise & Munro Learning Research,NL,52.07667,4.29861
University of Mannheim,DE,49.4891,8.46694
Consorzio Pisa Ricerche,IT,43.70853,10.4036
empirica - Communication and Technology Research,DE,50.73438,7.09549
Volvo (Sweden),SE,57.70716,11.96679
Société de Mathématiques Appliquées et de Sciences Humaines,FR,48.85341,2.3488
Société Nationale des Chemins de Fer Français (France),FR,48.93564,2.35387
European Road Transport Telematics Implementation Co-Ordination,BE,50.85045,4.34878
Arttic (France),FR,48.85341,2.3488
Tecnatom (Spain),ES,40.55555,-3.62733
Teer Coatings (United Kingdom),GB,52.26667,-2.15
Tekniker,ES,43.18493,-2.47158
Multitel,BE,50.45413,3.95229
ThyssenKrupp (Germany),DE,51.45657,7.01228
STMicroelectronics (France),FR,48.8162,2.31393
Institut Technologique Forêt Cellulose Bois-Construction Ameublement,FR,48.85341,2.3488
Finnish Institute of Occupational Health,FI,60.16952,24.93545
Enterprise Ireland,IE,53.33306,-6.24889
Chaudhary Charan Singh Haryana Agricultural University,IN,29.15394,75.72294
Universidad Autónoma Metropolitana,MX,19.42847,-99.12766
Ain Shams University,EG,30.06263,31.24967
TuTech Innovation (Germany),DE,53.55073,9.99302
FORCE Technology (Denmark),DK,55.6455,12.41008
MTU Aero Engines (Germany),DE,48.13743,11.57549
Association of European Renewable Energy Research Centres,BE,50.85045,4.34878
Airbus (United Kingdom),GB,51.45523,-2.59665
